纯电动汽车销售量w,时间,新能源汽车销量w,纯电动汽车补贴政策w,混合动力补贴w,双积分平均车分,企业平均油耗要求,新能源汽车比例要求,排放物限制,电动车占比,居民收入,消费支出,人均交通和通信消费支出,充电桩,最低续航里程,电池能源密度,原油依存度,汽车总销量,动力电池价格,疫情,充电桩增长率,传统汽车报废,发电量,人均发电量,发电量增量
1.44,2013,1.8,4.8,3.5,3.5,0,1,0.08,0.000818774,1.83,1.32,0.1627,0.878843295,0.225352113,0.110559873,0.45026178,0.849462906,2,0,1.668966,0.0212476,0.660345297,0.713761789,0.4106
6,2014,7.5,4.6,3.3,3.45,0,1,0.08,0.00319259,2.02,1.45,0.1869,2.257718121,0.225352113,0.159697594,0.314935065,0.907724111,2,0,1.568965518,0.023758257,0.698205045,0.745139896,0.057333259
26.48,2015,33.1,4.4,3.2,3.4,0,1,0.08,0.013455285,2.2,1.57,0.2087,5.8,0.225352113,0.230674303,0.360119048,0.950540958,2.25,0,1.568965517,0.026501383,0.705568028,0.75307459,0.010545589
40.56,2016,50.7,4.2,3,3.35,0,1,0.08,0.018089054,2.38,1.71,0.2338,14.9,0.281690141,0.333196216,0.475065617,1.082998454,2.14,0,1.568965517,0.033289456,0.74033016,0.785534702,0.049268293
62.16,2017,77.7,3.3,2.4,3.3,0,1,0.07,0.026905457,2.6,1.83,0.2499,24,0.281690141,0.481283422,0.542857143,1.115877125,1.37,0,0.610738255,0.039891555,0.78878572,0.834765871,0.065451285
100.48,2018,125.6,3.4,2.2,3.25,0,1,0.055,0.044727752,2.82,1.99,0.2675,38.7,0.422535211,0.695187166,0.590909091,1.085046368,1.24,0,0.6125,0.042169744,0.859797332,0.868156506,0.090026492
96.48,2019,120.6,2.2,1,3.2,0.1,1.1,0.055,0.046800419,3.07,2.16,0.2862,51.6,0.704225352,0.855614973,0.622529644,0.995710974,0.96,0,0.333333333,0.064347217,0.900631774,0.902882767,0.047493102
111.5,2020,136.7,1.9,0.9,3.15,0.12,1.2,0.045,0.054008139,3.2189,2.344522613,0.306207252,80,0.845070423,0.855614973,0.638888889,0.97801391,0.87,1,0.550387597,0.086059753,0.937102512,0.938998077,0.040494616
223.8,2021,269.85,1.5,0.68,3.1,0.14,1.23,0.045,0.108661512,3.375021893,2.544808464,0.327613142,95,0.845070423,0.855614973,1,0.959582689,1,0.2,0.1875,0.115098702,0.983957637,0.976558,0.05
,2022,,1.2,0.58,3.05,0.16,1.26,0.045,0.14,3.538715951,2.762204162,0.350515444,108.2066277,0.985915493,0.855614974,1.328583315,0.969178516,0.97,0.1,0.139017134,0.163364006,1.029308007,1.014129345,0.055431076
,2023,,0.35,0.243587942,3,0.18,1.29,0.04,0.16,3.710349438,2.998171352,0.375018767,119.834341,1.126760563,1.016042782,1.627568847,0.978870301,0.94,0.05,0.10745842,0.243259189,1.073147845,1.051712311,0.058534222
,2024,,0.1,0.12,2.95,0.2,1.32,0.035,0.18,3.890307429,3.254296543,0.401235032,130.0719067,1.267605634,1.176470589,1.899622675,0.988659004,0.91,0.05,0.085430984,0.375512374,1.115527465,1.089306901,0.060307261
,2025,,0,0.06,2.9,0.22,1.35,0.03,0.2,4.078993675,3.532301775,0.429283986,139.0855234,1.408450704,1.336898397,2.147170724,0.998545594,0.88,0,0.069297183,0.594435523,1.156495503,1.12691312,0.06132032
,2026,,0,0,2.85,0.24,1.38,0.025,0.23,4.276831512,3.834056198,0.459293745,147.02152,1.549295775,1.497326204,2.3724204,1.00853105,0.85,0,0.057058394,0.956826381,1.196098977,1.164530971,0.06189915
,2027,,0,0,2.8,0.26,1.41,0.02,0.26,4.484264805,4.161588637,0.491401382,154.0087309,1.690140845,1.657754012,2.577380273,1.018616361,0.82,0,0.04752509,1.556704167,1.234383337,1.202160457,0.062229875
,2028,,0,0,2.75,0.28,1.44,0.015,0.29,4.701758952,4.517101235,0.525753554,160.1605879,1.830985915,1.818181819,2.763877986,1.028802524,0.79,0,0.039944859,2.549702059,1.271392521,1.239801582,0.06241884
,2029,,0,0,2.7,0.3,1.47,0.01,0.32,4.929801919,4.902984255,0.562507167,165.5769616,1.971830986,1.978609627,2.933576554,1.03909055,0.76,0,0.033818393,4.193444894,1.307169002,1.27745435,0.06252681
,2030,,0,0,2.65,0.32,1.5,0.005,0.35,5.168905341,5.321832156,0.601830098,170.3457825,2.112676056,2.139037434,3.087989192,1.049481455,0.73,0,0.028801235,6.91438774,1.341753838,1.315118764,0.0625885
